zipcode,current_soc,current_title,related_soc,related_title
94117,47-2152,Plumbers, Pipefitters, and Steamfitters,47-2152.00,Plumbers, Pipefitters, and Steamfitters
94117,47-2152,Plumbers, Pipefitters, and Steamfitters,47-3015.00,Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters
94117,47-2152,Plumbers, Pipefitters, and Steamfitters,47-2152.01,Pipe Fitters and Steamfitters
94117,47-2152,Plumbers, Pipefitters, and Steamfitters,47-2152.02,Plumbers
94117,47-2152,Plumbers, Pipefitters, and Steamfitters,49-1011.00,First-Line Supervisors of Mechanics, Installers, and Repairers
94117,47-2152,Plumbers, Pipefitters, and Steamfitters,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
94117,47-2152,Plumbers, Pipefitters, and Steamfitters,47-2151.00,Pipelayers
94117,47-2152,Plumbers, Pipefitters, and Steamfitters,49-9071.00,Maintenance and Repair Workers, General
94117,47-2152,Plumbers, Pipefitters, and Steamfitters,47-2011.00,Boilermakers
94117,47-2152,Plumbers, Pipefitters, and Steamfitters,49-9021.01,Heating and Air Conditioning Mechanics and Installers
94117,47-2152,Plumbers, Pipefitters, and Steamfitters,49-9041.00,Industrial Machinery Mechanics
94117,47-2152,Plumbers, Pipefitters, and Steamfitters,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners
94117,47-2152,Plumbers, Pipefitters, and Steamfitters,51-4121.07,Solderers and Brazers
94117,47-2152,Plumbers, Pipefitters, and Steamfitters,51-2031.00,Engine and Other Machine Assemblers
94117,47-2152,Plumbers, Pipefitters, and Steamfitters,51-2022.00,Electrical and Electronic Equipment Assemblers
94117,47-2152,Plumbers, Pipefitters, and Steamfitters,51-8021.00,Stationary Engineers and Boiler Operators
94117,47-2152,Plumbers, Pipefitters, and Steamfitters,47-4011.00,Construction and Building Inspectors
94117,47-2152,Plumbers, Pipefitters, and Steamfitters,47-2061.00,Construction Laborers
94117,47-2152,Plumbers, Pipefitters, and Steamfitters,11-9021.00,Construction Managers
94117,47-2152,Plumbers, Pipefitters, and Steamfitters,51-9199.00,Production Workers, All Other
